Name,TSM,LCV,LCB (500),LCG,MCV,MCB,MCG,SCV,SCB,SCG,Micro Cap,REIT,Int'l Dev,EM,Total Int'l,Pacific,Europe,Int'l Value,Int'l Small,LTT,ITT,STT,TBM,STB,TBILL,IT Corp.,Wellington,Wellesley,Windsor,COMM,GOLD,Energy,Health,Precious Metals,Windsor II,ST Munis,IT Munis,LT Munis,ST Invest. Grade,Hi-Yield Corp. Bd,TIPS,Global Bd,Int'l Bd,Extended Mkt,Total World Mkt,Momentum Factor,Quality Factor,Min Vol Factor,Value Factor,Dividend Growth,High Dividends,LT STRIPS,Inflation
Symbol,VTSMX,VIVAX,VFINX,VIGRX,VMVIX,VIMSX,VMGIX,VISVX,NAESX,VISGX,BRSIX,VGSIX,VDVIX,VEIEX,VGTSX,VPACX,VEURX,EFV,VFSVX,VUSTX,VFITX,VFISX,VBMFX,VBISX,VUSXX,VCIT,VWELX,VWINX,VWNDX,GSG,IAU,VGENX,VGHCX,FSAGX,VWNFX,VWSTX,VWITX,VWLTX,VFSTX,VWEHX,VIPSX,BNDW,VTIBX,VEXMX,VTWSX,MTUM,QUAL,USMV,VLUE,VDAIX,VHDYX,EDV,CPI-U
1927,33.2098668,26.42272848,36.37623745,37.9647063,26.89163565,31.4530539,35.02058679,37.45742999,36.16328338,32.69730351,,,,,,,,,,3.273449595,2.189071298,3.047160863,2.442325354,3.098607274,4.166250375,,,,,,,,,,,,,,,,,,,,,,,,,,,3.751970982,-1.142857143
1928,38.83312824,33.53442359,46.45782271,43.60179294,32.1676384,37.17824371,41.12904266,35.65393841,40.0200668,47.29418144,,,,,,,,,,-0.55776596,-0.692794319,1.631589416,-0.096221699,1.682329101,4.545908682,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.322737165,-1.156069364
1929,-11.37885362,-0.538085082,-8.896651687,-15.44157755,-8.551220024,-12.75135329,-15.66530515,-21.52707256,-25.4350405,-28.21446935,,,,,,,,,,7.809336903,7.454199786,7.860337059,7.517480614,7.914186454,5.914676791,,,,,,,,,,,,,,,,,,,,,,,,,,,10.16686467,0
1930,-28.47640114,-26.84807053,-21.98853434,-25.53647166,-38.53182439,-37.42347978,-32.50421663,-36.1405665,-34.82903105,-32.40900475,,,,,,,,,,2.384318066,6.070059065,6.370984341,6.112426241,6.424090175,4.056349286,,-21.2145,,,,,,,,,,,,,,,,,,,,,,,,,0.882699438,-7.01754386
1931,-44.17310854,-47.22847826,-43.008449,-36.60101152,-53.50719888,-50.37347207,-41.49415768,-48.94468649,-46.65023077,-42.27449648,,,,,,,,,,-1.491504876,0.440719285,1.029421392,0.651632412,1.079860444,2.337895894,,-26.42646,,,,,,,,,,,,,,,,,,,,,,,,,-4.281926438,-10.06289308
1932,-8.754653701,-5.306032201,-8.682061981,-10.85076021,-3.927099012,-7.553203693,-12.67876244,-6.289942038,-5.432473687,-8.508346882,,,,,,,,,,8.78192509,8.706186782,6.574625156,8.196416997,6.627832657,3.267059646,,-1.82413,,,,,,,,,,,,,,,,,,,,,,,,,11.87126245,-9.79020979
1933,57.03631938,49.80668436,54.64949916,39.27643339,79.75058593,71.18060012,59.72613338,112.3893001,105.7122966,103.0296252,,,,,,,,,,5.838637507,5.21809034,2.873119627,4.719418413,2.924479148,1.368768109,,6.82202,,,,,,,,,,,,,,,,,,,,,,,,,7.84573157,2.325581395
1934,2.209139619,-4.493812182,-8.003557827,7.898015933,0.354426547,4.158519813,11.90760478,7.704629888,11.94485893,20.14541123,,,,,,,,,,7.787781279,5.231795286,2.269680232,4.616899958,2.320738484,0.232611963,,20.35647,,,,,,,,,,,,,,,,,,,,,,,,,11.58473811,3.03030303
1935,46.15546764,50.2940099,53.45686665,44.10593374,55.36864471,49.99039586,41.83539512,45.37758728,43.86171433,45.98521648,,,,,,,,,,4.652728243,3.664195193,1.487910819,3.250479359,1.538578772,0.085037562,,35.36596,,,,,,,,,,,,,,,,,,,,,,,,,6.316445313,1.470588235
1936,33.50242285,32.25633148,32.88082731,26.2069648,34.22165075,31.74137796,26.60058366,49.17912579,42.45617602,33.88674593,,,,,,,,,,2.005065958,2.622336588,1.159762282,2.362120711,1.210266406,0.080035186,,31.31284,,,,,,,,,,,,,,,,,,,,,,,,,1.896809079,2.173913043
